,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
0,Marble Hill,40.87655078,-73.91065966,Arturo's,40.87441177110232,-73.91027100981573,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
1,Chinatown,40.71561842,-73.99427936,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
2,Washington Heights,40.85190253,-73.93690028,Fresco's Pizzeria,40.85520157236451,-73.93721648678681,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
3,Washington Heights,40.85190253,-73.93690028,Exclusive Pizza,40.85098851913821,-73.93863461560966,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
4,Inwood,40.86768396,-73.92121042,Grandpa's Brick Oven Pizza,40.86821549098444,-73.9194188234502,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
5,Inwood,40.86768396,-73.92121042,Domino's Pizza,40.8663161,-73.9256244,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
6,Hamilton Heights,40.82360428,-73.94968792,Uncle Tony's Pizza,40.82144,-73.950766,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
7,Hamilton Heights,40.82360428,-73.94968792,Olga's Pizza,40.82237928679236,-73.95349050970361,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
8,Hamilton Heights,40.82360428,-73.94968792,Jumbo Pizza,40.827994,-73.94877199999998,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
9,Hamilton Heights,40.82360428,-73.94968792,Papa John's Pizza,40.82487430556074,-73.94763462303838,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
10,Hamilton Heights,40.82360428,-73.94968792,Vittorio's Pizza Plus,40.82383014147579,-73.94423562359108,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
11,Hamilton Heights,40.82360428,-73.94968792,P&M Pizza,40.826122,-73.946579,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
12,Central Harlem,40.81597607,-73.94321113,Pizza Stop,40.81508009832609,-73.94004044021452,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
13,East Harlem,40.79224947,-73.94418223,La Nostra Pizzeria,40.79312695201179,-73.9404248930157,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
14,Upper East Side,40.77563857,-73.96050763,Emmy Squared,40.775582,-73.956576,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
15,Yorkville,40.77592985,-73.94711784,Luigi's Pizzeria,40.77822177253231,-73.94842554164335,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
16,Yorkville,40.77592985,-73.94711784,La Mia Pizza,40.7744569816882,-73.95119502334224,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
17,Yorkville,40.77592985,-73.94711784,PQR,40.77706681082764,-73.95235840357437,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
18,Yorkville,40.77592985,-73.94711784,Williamsburg Pizza,40.776753,-73.952763,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
19,Lenox Hill,40.76811266,-73.95885969,Donna Margherita,40.766452,-73.959905,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
20,Lenox Hill,40.76811266,-73.95885969,Numero 28 Pizza,40.76929345769922,-73.95496593295219,Pizza Place,Food,Pizza Place,Pizza Place,Pizza Place
