,Level I,Level II,Level III
0,Arts & Entertainment,Amphitheater,Amphitheater
1,Arts & Entertainment,Aquarium,Aquarium
2,Arts & Entertainment,Arcade,Arcade
3,Arts & Entertainment,Art Gallery,Art Gallery
4,Arts & Entertainment,Bowling Alley,Bowling Alley
5,Arts & Entertainment,Casino,Casino
6,Arts & Entertainment,Circus,Circus
7,Arts & Entertainment,Comedy Club,Comedy Club
8,Arts & Entertainment,Concert Hall,Concert Hall
9,Arts & Entertainment,Country Dance Club,Country Dance Club
10,Arts & Entertainment,Disc Golf,Disc Golf
11,Arts & Entertainment,Exhibit,Exhibit
12,Arts & Entertainment,General Entertainment,General Entertainment
13,Arts & Entertainment,Go Kart Track,Go Kart Track
14,Arts & Entertainment,Historic Site,Historic Site
15,Arts & Entertainment,Karaoke Box,Karaoke Box
16,Arts & Entertainment,Laser Tag,Laser Tag
17,Arts & Entertainment,Memorial Site,Memorial Site
18,Arts & Entertainment,Mini Golf,Mini Golf
19,Arts & Entertainment,Movie Theater,Drive-in Theater
20,Arts & Entertainment,Movie Theater,Indie Movie Theater
21,Arts & Entertainment,Movie Theater,Multiplex
22,Arts & Entertainment,Museum,Art Museum
23,Arts & Entertainment,Museum,Erotic Museum
24,Arts & Entertainment,Museum,History Museum
25,Arts & Entertainment,Museum,Planetarium
26,Arts & Entertainment,Museum,Science Museum
27,Arts & Entertainment,Music Venue,Jazz Club
28,Arts & Entertainment,Music Venue,Piano Bar
29,Arts & Entertainment,Music Venue,Rock Club
30,Arts & Entertainment,Pachinko Parlor,Pachinko Parlor
31,Arts & Entertainment,Performing Arts Venue,Dance Studio
32,Arts & Entertainment,Performing Arts Venue,Indie Theater
33,Arts & Entertainment,Performing Arts Venue,Opera House
34,Arts & Entertainment,Performing Arts Venue,Theater
35,Arts & Entertainment,Pool Hall,Pool Hall
36,Arts & Entertainment,Public Art,Outdoor Sculpture
37,Arts & Entertainment,Public Art,Street Art
38,Arts & Entertainment,Racecourse,Racecourse
39,Arts & Entertainment,Racetrack,Racetrack
40,Arts & Entertainment,Roller Rink,Roller Rink
41,Arts & Entertainment,Salsa Club,Salsa Club
42,Arts & Entertainment,Samba School,Samba School
43,Arts & Entertainment,Stadium,Baseball Stadium
44,Arts & Entertainment,Stadium,Basketball Stadium
45,Arts & Entertainment,Stadium,Cricket Ground
46,Arts & Entertainment,Stadium,Football Stadium
47,Arts & Entertainment,Stadium,Hockey Arena
48,Arts & Entertainment,Stadium,Rugby Stadium
49,Arts & Entertainment,Stadium,Soccer Stadium
50,Arts & Entertainment,Stadium,Tennis Stadium
51,Arts & Entertainment,Stadium,Track Stadium
52,Arts & Entertainment,Theme Park,Theme Park Ride / Attraction
53,Arts & Entertainment,Tour Provider,Tour Provider
54,Arts & Entertainment,Water Park,Water Park
55,Arts & Entertainment,Zoo,Zoo Exhibit
56,College & University,College Academic Building,College Arts Building
57,College & University,College Academic Building,College Communications Building
58,College & University,College Academic Building,College Engineering Building
59,College & University,College Academic Building,College History Building
60,College & University,College Academic Building,College Math Building
61,College & University,College Academic Building,College Science Building
62,College & University,College Academic Building,College Technology Building
63,College & University,College Administrative Building,College Administrative Building
64,College & University,College Auditorium,College Auditorium
65,College & University,College Bookstore,College Bookstore
66,College & University,College Cafeteria,College Cafeteria
67,College & University,College Classroom,College Classroom
68,College & University,College Gym,College Gym
69,College & University,College Lab,College Lab
70,College & University,College Library,College Library
71,College & University,College Quad,College Quad
72,College & University,College Rec Center,College Rec Center
73,College & University,College Residence Hall,College Residence Hall
74,College & University,College Stadium,College Baseball Diamond
75,College & University,College Stadium,College Basketball Court
76,College & University,College Stadium,College Cricket Pitch
77,College & University,College Stadium,College Football Field
78,College & University,College Stadium,College Hockey Rink
79,College & University,College Stadium,College Soccer Field
80,College & University,College Stadium,College Tennis Court
81,College & University,College Stadium,College Track
82,College & University,College Theater,College Theater
83,College & University,Community College,Community College
84,College & University,Fraternity House,Fraternity House
85,College & University,General College & University,General College & University
86,College & University,Law School,Law School
87,College & University,Medical School,Medical School
88,College & University,Sorority House,Sorority House
89,College & University,Student Center,Student Center
90,College & University,Trade School,Trade School
91,College & University,University,University
92,Event,Christmas Market,Christmas Market
93,Event,Conference,Conference
94,Event,Convention,Convention
95,Event,Festival,Festival
96,Event,Line / Queue,Line / Queue
97,Event,Music Festival,Music Festival
98,Event,Other Event,Other Event
99,Event,Parade,Parade
100,Event,Sporting Event,Sporting Event
101,Event,Stoop Sale,Stoop Sale
102,Event,Street Fair,Street Fair
103,Event,Trade Fair,Trade Fair
104,Food,Afghan Restaurant,Afghan Restaurant
105,Food,African Restaurant,Ethiopian Restaurant
106,Food,American Restaurant,New American Restaurant
107,Food,Asian Restaurant,Burmese Restaurant
108,Food,Asian Restaurant,Cambodian Restaurant
109,Food,Asian Restaurant,Chinese Restaurant
110,Food,Asian Restaurant,Filipino Restaurant
111,Food,Asian Restaurant,Himalayan Restaurant
112,Food,Asian Restaurant,Hotpot Restaurant
113,Food,Asian Restaurant,Indonesian Restaurant
114,Food,Asian Restaurant,Japanese Restaurant
115,Food,Asian Restaurant,Korean Restaurant
116,Food,Asian Restaurant,Malay Restaurant
117,Food,Asian Restaurant,Mongolian Restaurant
118,Food,Asian Restaurant,Noodle House
119,Food,Asian Restaurant,Satay Restaurant
120,Food,Asian Restaurant,Thai Restaurant
121,Food,Asian Restaurant,Tibetan Restaurant
122,Food,Asian Restaurant,Vietnamese Restaurant
123,Food,Australian Restaurant,Australian Restaurant
124,Food,Austrian Restaurant,Austrian Restaurant
125,Food,BBQ Joint,BBQ Joint
126,Food,Bagel Shop,Bagel Shop
127,Food,Bakery,Bakery
